iata_code,name,continent,iso_country,municipality
AAA,Anaa Airport,OC,PF,
AAB,Arrabury Airport,OC,AU,
AAC,El Arish International Airport,AS,EG,El Arish
AAD,Adado Airport,AF,SO,Adado
AAE,Rabah Bitat Airport,AF,DZ,Annaba
AAF,Apalachicola Regional Airport,NA,US,Apalachicola
AAG,Arapoti Airport,SA,BR,Arapoti
AAH,Aachen-Merzbrück Airport,EU,DE,Aachen
AAI,Arraias Airport,SA,BR,Arraias
AAJ,Cayana Airstrip,SA,SR,Awaradam
AAK,Buariki Airport,OC,KI,Buariki
AAL,Aalborg Airport,EU,DK,Aalborg
AAM,Malamala Airport,AF,ZA,Malamala
AAN,Al Ain International Airport,AS,AE,Al Ain
AAO,Anaco Airport,SA,VE,Anaco
AAP,Andrau Airpark,NA,US,Houston
AAQ,Anapa Vityazevo Airport,EU,RU,Anapa
AAR,Aarhus Airport,EU,DK,Aarhus
AAS,Apalapsili Airport,AS,ID,Apalapsili
AAT,Altay Air Base,AS,CN,Altay
AAU,Asau Airport,OC,WS,Asau
AAV,Allah Valley Airport,AS,PH,Surallah
AAX,Romeu Zema Airport,SA,BR,Araxá
AAY,Al Ghaidah International Airport,AS,YE,
AAZ,Quezaltenango Airport,NA,GT,Quezaltenango
ABA,Abakan Airport,AS,RU,Abakan
ABB,Asaba International Airport,AF,NG,Asaba
ABC,Albacete-Los Llanos Airport,EU,ES,Albacete
ABD,Abadan Airport,AS,IR,Abadan
ABE,Lehigh Valley International Airport,NA,US,Allentown
ABF,Abaiang Airport,OC,KI,Abaiang
ABG,Abingdon Downs Airport,OC,AU,
ABH,Alpha Airport,OC,AU,Alpha
ABI,Abilene Regional Airport,NA,US,Abilene
ABJ,Port Bouet Airport,AF,CI,Abidjan
ABK,Kabri Dehar Airport,AF,ET,Kabri Dehar
ABL,Ambler Airport,NA,US,Ambler
ABM,Northern Peninsula Airport,OC,AU,Bamaga
ABN,Albina Airport,SA,SR,Albina
ABO,Aboisso Airport,AF,CI,Aboisso
ABP,Atkamba Airport,OC,PG,Atkamba Mission
ABQ,Albuquerque International Sunport,NA,US,Albuquerque
ABR,Aberdeen Regional Airport,NA,US,Aberdeen
ABS,Abu Simbel Airport,AF,EG,Abu Simbel
ABT,Al Baha Airport,AS,SA,
ABU,Haliwen Airport,AS,ID,Atambua-Timor Island
ABV,Nnamdi Azikiwe International Airport,AF,NG,Abuja
ABW,Abau Airport,OC,PG,Abau
ABX,Albury Airport,OC,AU,Albury
ABY,Southwest Georgia Regional Airport,NA,US,Albany
ABZ,Aberdeen Dyce Airport,EU,GB,Aberdeen
ACA,General Juan N Alvarez International Airport,NA,MX,Acapulco
ACB,Antrim County Airport,NA,US,Bellaire
ACC,Kotoka International Airport,AF,GH,Accra
ACD,Alcides Fernández Airport,SA,CO,Acandí
ACE,Lanzarote Airport,EU,ES,Lanzarote Island
ACF,Brisbane Archerfield Airport,OC,AU,Brisbane
ACH,St Gallen Altenrhein Airport,EU,CH,Altenrhein
ACI,Alderney Airport,EU,GG,Saint Anne
ACJ,Anuradhapura Air Force Base,AS,LK,Anuradhapura
ACK,Nantucket Memorial Airport,NA,US,Nantucket
ACL,Aguaclara Airport,SA,CO,Aguaclara
ACM,Arica Airport,SA,CO,Arica
ACN,Ciudad Acuña New International Airport,NA,MX,Ciudad Acuña
ACO,Ascona Airport,EU,CH,Ascona
ACP,Sahand Airport,AS,IR,Maragheh
ACR,Araracuara Airport,SA,CO,Araracuara
ACS,Achinsk Airport,AS,RU,Achinsk
ACT,Waco Regional Airport,NA,US,Waco
ACU,Achutupo Airport,NA,PA,Achutupo
ACV,California Redwood Coast-Humboldt County Airport,NA,US,Arcata/Eureka
ACX,Xingyi Airport,AS,CN,Xingyi
ACY,Atlantic City International Airport,NA,US,Atlantic City
ACZ,Zabol Airport,AS,IR,
ADA,Adana Airport,AS,TR,Adana
ADB,Adnan Menderes International Airport,AS,TR,İzmir
ADC,Andakombe Airport,OC,PG,Andekombe
ADD,Addis Ababa Bole International Airport,AF,ET,Addis Ababa
ADE,Aden International Airport,AS,YE,Aden
ADF,Adıyaman Airport,AS,TR,Adıyaman
ADG,Lenawee County Airport,NA,US,Adrian
ADH,Aldan Airport,AS,RU,Aldan
ADI,Arandis Airport,AF,NA,Arandis
ADJ,Amman-Marka International Airport,AS,JO,Amman
ADK,Adak Airport,NA,US,Adak Island
ADL,Adelaide International Airport,OC,AU,Adelaide
ADM,Ardmore Municipal Airport,NA,US,Ardmore
ADN,Andes Airport,SA,CO,Andes
ADO,Andamooka Airport,OC,AU,
ADP,Ampara Airport,AS,LK,Ampara
ADQ,Kodiak Airport,NA,US,Kodiak
ADR,Robert F Swinnie Airport,NA,US,Andrews
ADS,Addison Airport,NA,US,Dallas
ADT,Ada Regional Airport,NA,US,Ada
ADU,Ardabil Airport,AS,IR,Ardabil
ADV,El Daein Airport,AF,SD,El Daein
ADW,Andrews Air Force Base,NA,US,Camp Springs
ADX,RAF Leuchars,EU,GB,St. Andrews
ADY,Alldays Airport,AF,ZA,Alldays
ADZ,Gustavo Rojas Pinilla International Airport,SA,CO,San Andrés
AEA,Abemama Atoll Airport,OC,KI,Abemama Atoll
AEB,Baise Youjiang Airport,AS,CN,Baise
AEE,Adareil Airport,AF,SS,
AEG,Aek Godang Airport,AS,ID,Padang Sidempuan-Sumatra Island
AEH,Abeche Airport,AF,TD,
AEI,Algeciras Heliport,EU,ES,Algeciras
AEK,Aseki Airport,OC,PG,Aseki
AEL,Albert Lea Municipal Airport,NA,US,Albert Lea
AEM,Amgu Airport,EU,RU,Amgu
AEO,Aioun el Atrouss Airport,AF,MR,Aioun El Atrouss
AEP,Jorge Newbery Airpark,SA,AR,Buenos Aires
AER,Sochi International Airport,EU,RU,Sochi
AES,Ålesund Airport,EU,NO,Ålesund
AET,Allakaket Airport,NA,US,Allakaket
AEU,Abumusa Island Airport,AS,IR,
AEX,Alexandria International Airport,NA,US,Alexandria
AEY,Akureyri Airport,EU,IS,Akureyri
AFA,Suboficial Ay Santiago Germano Airport,SA,AR,San Rafael
AFD,Port Alfred Airport,AF,ZA,Port Alfred
AFF,USAF Academy Airfield,NA,US,Colorado Springs
AFI,Amalfi Airport,SA,CO,Amalfi
AFK,Kondavattavana Tank Seaplane Base,AS,LK,Ampara
AFL,Piloto Osvaldo Marques Dias Airport,SA,BR,Alta Floresta
AFN,Jaffrey Airport Silver Ranch Airport,NA,US,Jaffrey
AFO,Afton Municipal Airport,NA,US,Afton
AFR,Afore Airstrip,OC,PG,
AFS,Sugraly Airport,AS,UZ,Zarafshan
AFT,Afutara Aerodrome,OC,SB,Bila
AFW,Fort Worth Alliance Airport,NA,US,Fort Worth
AFY,Afyon Airport,AS,TR,Afyonkarahisar
AFZ,Sabzevar National Airport,AS,IR,Sabzevar
AGA,Al Massira Airport,AF,MA,Agadir
AGB,Augsburg Airport,EU,DE,Augsburg
AGC,Allegheny County Airport,NA,US,Pittsburgh
AGD,Anggi Airport,AS,ID,Anggi-Papua Island
AGE,Wangerooge Airport,EU,DE,Wangerooge
AGF,Agen-La Garenne Airport,EU,FR,Agen/La Garenne
AGG,Angoram Airport,OC,PG,Angoram
AGH,Ängelholm-Helsingborg Airport,EU,SE,Ängelholm
AGI,Wageningen Airstrip,SA,SR,Wageningen
AGJ,Aguni Airport,AS,JP,Aguni
AGK,Kagua Airport,OC,PG,Kagua
AGL,Wanigela Airport,OC,PG,
AGN,Angoon Seaplane Base,NA,US,Angoon
AGO,Magnolia Municipal Airport,NA,US,Magnolia
AGP,Málaga Airport,EU,ES,Málaga
AGQ,Agrinion Air Base,EU,GR,Agrinion
AGR,Agra Airport,AS,IN,
AGS,Augusta Regional At Bush Field,NA,US,Augusta
AGT,Guarani International Airport,SA,PY,Ciudad del Este
AGU,Jesús Terán Paredo International Airport,NA,MX,Aguascalientes
AGV,Oswaldo Guevara Mujica Airport,SA,VE,Acarigua
AGW,Agnew Airport,OC,AU,Agnew
AGX,Agatti Airport,AS,IN,
AGY,Argyle Downs Airport,OC,AU,Argyle Downs
AGZ,Aggeneys Airport,AF,ZA,Aggeneys
AHB,Abha Regional Airport,AS,SA,Abha
AHC,Amedee Army Air Field,NA,US,Herlong
AHD,Ardmore Downtown Executive Airport,NA,US,Ardmore
AHE,Ahe Airport,OC,PF,Ahe Atoll
AHF,Arapahoe Municipal Airport,NA,US,Arapahoe
AHH,Amery Municipal Airport,NA,US,Amery
AHI,Amahai Airport,AS,ID,Amahai-Seram Island
AHJ,Hongyuan Airport,AS,CN,Aba
AHL,Aishalton Airport,SA,GY,Aishalton
AHM,Ashland Municipal Sumner Parker Field,NA,US,Ashland
AHN,Athens Ben Epps Airport,NA,US,Athens
AHO,Alghero-Fertilia Airport,EU,IT,Alghero
AHS,Ahuas Airport,NA,HN,Ahuas
AHT,Amchitka Army Airfield,NA,US,Amchitka Island
AHT,Amchitka Army Airfield,NA,US,Amchitka Island
AHU,Cherif Al Idrissi Airport,AF,MA,Al Hoceima
AHY,Ambatolhy Airport,AF,MG,Ambatolahy
AHZ,Altiport L'Alpe d'Huez - Henri GIRAUD,EU,FR,L'Alpe d'Huez
AIA,Alliance Municipal Airport,NA,US,Alliance
AIC,Ailinglaplap Airok Airport,OC,MH,Bigatyelang Island
AID,Anderson Municipal Darlington Field,NA,US,Anderson
AIE,Aiome Airport,OC,PG,Aiome
AIF,Marcelo Pires Halzhausen Airport,SA,BR,Assis
AIG,Yalinga Airport,AF,CF,Yalinga
AIH,Aiambak Airport,OC,PG,Aiambak
AII,Ali-Sabieh Airport,AF,DJ,Ali-Sabieh
AIK,Aiken Municipal Airport,NA,US,Aiken
AIL,Alligandi Airport,NA,PA,Alligandi
AIM,Ailuk Airport,OC,MH,Ailuk Island
AIN,Wainwright Airport,NA,US,Wainwright
AIO,Atlantic Municipal Airport,NA,US,Atlantic
AIP,Adampur Airport,AS,IN,Adampur
AIR,Aripuanã Airport,SA,BR,Aripuanã
AIS,Arorae Island Airport,OC,KI,Arorae Island
AIT,Aitutaki Airport,OC,CK,Aitutaki
AIU,Enua Airport,OC,CK,Atiu Island
AIV,George Downer Airport,NA,US,Aliceville
AIW,Ai-Ais Airport,AF,NA,Ai-Ais
AIY,Atlantic City Municipal Bader Field,NA,US,Atlantic City
AIZ,Lee C Fine Memorial Airport,NA,US,Kaiser Lake Ozark
AJA,Ajaccio-Napoléon Bonaparte Airport,EU,FR,Ajaccio/Napoléon Bonaparte
AJF,Al-Jawf Domestic Airport,AS,SA,Al-Jawf
AJI,Ağrı Airport,AS,TR,
AJJ,Akjoujt Airport,AF,MR,Akjoujt
AJK,Arak Airport,AS,IR,Araak
AJL,Lengpui Airport,AS,IN,Aizawl
AJN,Ouani Airport,AF,KM,Ouani
AJR,Arvidsjaur Airport,EU,SE,Arvidsjaur
AJS,Abreojos Airport,NA,MX,Abreojos
AJU,Santa Maria Airport,SA,BR,Aracaju
AJY,Mano Dayak International Airport,AF,NE,Agadez
AKA,Ankang Wulipu Airport,AS,CN,Ankang
AKB,Atka Airport,NA,US,Atka
AKC,Akron Fulton International Airport,NA,US,Akron
AKD,Akola Airport,AS,IN,Akola
AKE,Akieni Airport,AF,GA,Akieni
AKF,Kufra Airport,AF,LY,Kufra
AKG,Anguganak Airport,OC,PG,Anguganak
AKH,Prince Sultan Air Base,AS,SA,
AKI,Akiak Airport,NA,US,Akiak
AKJ,Asahikawa Airport,AS,JP,Asahikawa / Hokkaidō
AKK,Akhiok Airport,NA,US,Akhiok
AKL,Auckland International Airport,OC,NZ,Auckland
AKM,Zakuoma Airport,AF,TD,ZaKouma
AKN,King Salmon Airport,NA,US,King Salmon
AKO,Colorado Plains Regional Airport,NA,US,Akron
AKP,Anaktuvuk Pass Airport,NA,US,Anaktuvuk Pass
AKQ,Gunung Batin Airport,AS,ID,Astraksetra-Sumatra Island
AKR,Akure Airport,AF,NG,Akure
AKS,Gwaunaru'u Airport,OC,SB,Auki
AKT,RAF Akrotiri,EU,GB,Akrotiri
AKU,Aksu Airport,AS,CN,Aksu
AKV,Akulivik Airport,NA,CA,Akulivik
AKW,Aghajari Airport,AS,IR,Aghajari
AKX,Aktobe Airport,AS,KZ,Aktyubinsk
AKY,Sittwe Airport,AS,MM,Sittwe
ALA,Almaty Airport,AS,KZ,Almaty
ALB,Albany International Airport,NA,US,Albany
ALC,Alicante International Airport,EU,ES,Alicante
ALD,Alerta Airport,SA,PE,Fortaleza
ALE,Alpine Casparis Municipal Airport,NA,US,Alpine
ALF,Alta Airport,EU,NO,Alta
ALG,Houari Boumediene Airport,AF,DZ,Algiers
ALH,Albany Airport,OC,AU,Albany
ALI,Alice International Airport,NA,US,Alice
ALJ,Alexander Bay Airport,AF,ZA,Alexander Bay
ALL,Villanova D'Albenga International Airport,EU,IT,Albenga (SV)
ALM,Alamogordo White Sands Regional Airport,NA,US,Alamogordo
ALN,St Louis Regional Airport,NA,US,Alton/St Louis
ALO,Waterloo Regional Airport,NA,US,Waterloo
ALP,Aleppo International Airport,AS,SY,Aleppo
ALQ,Alegrete Novo Airport,SA,BR,Alegrete
ALR,Alexandra Airport,OC,NZ,Alexandra
ALS,San Luis Valley Regional Bergman Field,NA,US,Alamosa
ALT,Alenquer Airport,SA,BR,Alenquer
ALU,Alula Airport,AF,SO,Alula
ALV,Andorra la Vella Heliport,EU,AD,Andorra La Vella
ALW,Walla Walla Regional Airport,NA,US,Walla Walla
ALX,Thomas C Russell Field,NA,US,Alexander City
ALY,El Nouzha Airport,AF,EG,Alexandria
ALZ,Alitak Seaplane Base,NA,US,Lazy Bay
AMA,Rick Husband Amarillo International Airport,NA,US,Amarillo
AMB,Ambilobe Airport,AF,MG,
AMC,Am Timan Airport,AF,TD,Am Timan
AMD,Sardar Vallabhbhai Patel International Airport,AS,IN,Ahmedabad
AME,Alto Molocue Airport,AF,MZ,Alto Molocue
AMF,Ama Airport,OC,PG,
AMH,Arba Minch Airport,AF,ET,
AMI,Selaparang Airport,AS,ID,Mataram-Lombok Island
AMJ,Cirilo Queiróz Airport,SA,BR,Almenara
AMK,Animas Air Park,NA,US,Durango
AML,Puerto Armuelles Airport,NA,PA,Puerto Armuelles
AMM,Queen Alia International Airport,AS,JO,Amman
AMN,Gratiot Community Airport,NA,US,Alma
AMO,Mao Airport,AF,TD,Mao
AMP,Ampanihy Airport,AF,MG,Ampanihy
AMQ,"Pattimura Airport, Ambon",AS,ID,Ambon
AMS,Amsterdam Airport Schiphol,EU,NL,Amsterdam
AMT,Amata Airport,OC,AU,
AMU,Amanab Airport,OC,PG,Amanab
AMV,Amderma Airport,AS,RU,Amderma
AMW,Ames Municipal Airport,NA,US,Ames
AMX,Ammaroo Airport,OC,AU,
AMY,Ambatomainty Airport,AF,MG,
AMZ,Ardmore Airport,OC,NZ,Manurewa
ANA,Angama Airport,AF,KE,Maasai Mara
ANB,Anniston Metropolitan Airport,NA,US,Anniston
ANC,Ted Stevens Anchorage International Airport,NA,US,Anchorage
AND,Anderson Regional Airport,NA,US,Anderson
ANE,Angers-Loire Airport,EU,FR,Angers/Marcé
ANF,Cerro Moreno Airport,SA,CL,Antofagasta
ANG,Angoulême-Brie-Champniers Airport,EU,FR,Angoulême/Brie/Champniers
ANH,Anuha Island Resort Airport,OC,SB,Anhua Island
ANI,Aniak Airport,NA,US,Aniak
ANJ,Zanaga Airport,AF,CG,Zanaga
ANK,Etimesgut Air Base,AS,TR,Ankara
ANL,Andulo Airport,AF,AO,
ANM,Antsirabato Airport,AF,MG,
ANN,Annette Island Airport,NA,US,Annette
ANO,Angoche Airport,AF,MZ,Angoche
ANP,Lee Airport,NA,US,Annapolis
ANQ,Tri State Steuben County Airport,NA,US,Angola
ANR,Antwerp International Airport (Deurne),EU,BE,Antwerp
ANS,Andahuaylas Airport,SA,PE,Andahuaylas
ANU,V.C. Bird International Airport,NA,AG,St. John's
ANV,Anvik Airport,NA,US,Anvik
ANW,Ainsworth Municipal Airport,NA,US,Ainsworth
ANX,Andøya Airport,EU,NO,Andenes
ANY,Anthony Municipal Airport,NA,US,Anthony
ANZ,Angus Downs Airport,OC,AU,Angus Downs Station
AOA,Aroa Airport,OC,PG,Agevairu
AOB,Annanberg Airport,OC,PG,
AOC,Altenburg-Nobitz Airport,EU,DE,Altenburg
AOD,Abou-Deïa Airport,AF,TD,Abou-Deïa
AOE,Anadolu Airport,AS,TR,Eskişehir
AOG,Anshan Air Base,AS,CN,Anshan
AOH,Lima Allen County Airport,NA,US,Lima
AOI,Ancona Falconara Airport,EU,IT,Ancona
AOJ,Aomori Airport,AS,JP,Aomori
AOK,Karpathos Airport,EU,GR,Karpathos Island
AOL,Paso De Los Libres Airport,SA,AR,Paso de los Libres
AOM,Adam Airport,AS,OM,Adam
AOO,Altoona Blair County Airport,NA,US,Altoona
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,SA,PE,Andoas
AOR,Sultan Abdul Halim Airport,AS,MY,Alor Satar
AOS,Amook Bay Seaplane Base,NA,US,Amook Bay
AOT,Aosta Airport,EU,IT,Aosta
AOU,Attopeu Airport,AS,LA,Attopeu
APA,Centennial Airport,NA,US,Denver
APB,Apolo Airport,SA,BO,Apolo
APC,Napa County Airport,NA,US,Napa
APE,San Juan Aposento Airport,SA,PE,San Juan Aposento
APF,Naples Municipal Airport,NA,US,Naples
APG,Phillips Army Air Field,NA,US,Aberdeen Proving Grounds(Aberdeen)
APH,A P Hill AAF (Fort A P Hill) Airport,NA,US,Fort A. P. Hill
API,Gomez Nino Apiay Air Base,SA,CO,Apiay
APK,Apataki Airport,OC,PF,Apataki
APL,Nampula Airport,AF,MZ,Nampula
APN,Alpena County Regional Airport,NA,US,Alpena
APO,Antonio Roldan Betancourt Airport,SA,CO,Carepa
APP,Asapa Airport,OC,PG,
APQ,Arapiraca Airport,SA,BR,Arapiraca
APR,April River Airport,OC,PG,April River
APS,Anápolis Airport,SA,BR,Anápolis
APT,Marion County Brown Field,NA,US,Jasper
APU,Captain João Busse Airport,SA,BR,Apucarana
APV,Apple Valley Airport,NA,US,Apple Valley
APW,Faleolo International Airport,OC,WS,Apia
APX,Arapongas Airport,SA,BR,Arapongas
APY,Alto Parnaíba Airport,SA,BR,Alto Parnaíba
APZ,Zapala Airport,SA,AR,Zapala
AQA,Araraquara Airport,SA,BR,Araraquara
AQB,Santa Cruz del Quiche Airport,NA,GT,Santa Cruz del Quiche
AQG,Anqing Tianzhushan Airport,AS,CN,Anqing
AQI,Al Qaisumah/Hafr Al Batin Airport,AS,SA,Qaisumah
AQJ,Aqaba King Hussein International Airport,AS,JO,Aqaba
AQM,Nova Vida Airport,SA,BR,Ariquemes
AQP,Rodríguez Ballón International Airport,SA,PE,Arequipa
AQS,Biaugunu Airport,OC,FJ,"Saqani, Cakaudrove"
AQY,Girdwood Airport,NA,US,Girdwood
ARA,Acadiana Regional Airport,NA,US,New Iberia
ARB,Ann Arbor Municipal Airport,NA,US,Ann Arbor
ARC,Arctic Village Airport,NA,US,Arctic Village
ARD,Mali Airport,AS,ID,Alor Island
ARE,Antonio Nery Juarbe Pol Airport,NA,PR,Arecibo
ARF,Acaricuara Airport,SA,CO,Acaricuara
ARG,Walnut Ridge Regional Airport,NA,US,Walnut Ridge
ARH,Talagi Airport,EU,RU,Archangelsk
ARI,Chacalluta Airport,SA,CL,Arica
ARJ,Arso Airport,AS,ID,Arso-Papua Island
ARK,Arusha Airport,AF,TZ,Arusha
ARL,Arly Airport,AF,BF,Arly
ARM,Armidale Airport,OC,AU,Armidale
ARN,Stockholm-Arlanda Airport,EU,SE,Stockholm
ARO,Arboletes Airport,SA,CO,Arboletes
ARP,Aragip Airport,OC,PG,
ARQ,El Troncal Airport,SA,CO,Arauquita
ARR,D. Casimiro Szlapelis Airport,SA,AR,Alto Rio Senguerr
ARS,Aragarças Airport,SA,BR,Aragarças
ART,Watertown International Airport,NA,US,Watertown
ARU,Araçatuba Airport,SA,BR,Araçatuba
ARV,Lakeland-Noble F. Lee Memorial field,NA,US,Minocqua-Woodruff
ARW,Arad International Airport,EU,RO,Arad
ARX,Asbury Park Neptune Air Terminal,NA,US,Asbury Park
ARY,Ararat Airport,OC,AU,
ARZ,N'zeto Airport,AF,AO,N'zeto
ASA,Assab International Airport,AF,ER,Asab
ASB,Ashgabat Airport,AS,TM,Ashgabat
ASC,Ascención De Guarayos Airport,SA,BO,Ascensión de Guarayos
ASD,Andros Town Airport,NA,BS,
ASE,Aspen-Pitkin Co/Sardy Field,NA,US,Aspen
ASF,Astrakhan Airport,EU,RU,Astrakhan
ASG,Ashburton Aerodrome,OC,NZ,
ASH,Boire Field,NA,US,Nashua
ASI,RAF Ascension Island,AF,SH,Ascension Island
ASJ,Amami Airport,AS,JP,Amami
ASK,Yamoussoukro Airport,AF,CI,Yamoussoukro
ASL,Harrison County Airport,NA,US,Marshall
ASM,Asmara International Airport,AF,ER,Asmara
ASN,Talladega Municipal Airport,NA,US,Talladega
ASO,Asosa Airport,AF,ET,Asosa
ASP,Alice Springs Airport,OC,AU,Alice Springs
ASQ,Austin Airport,NA,US,Austin
ASR,Kayseri Erkilet Airport,AS,TR,Kayseri
ASS,Arathusa Safari Lodge Airport,AF,ZA,Arathusa
AST,Astoria Regional Airport,NA,US,Astoria
ASU,Silvio Pettirossi International Airport,SA,PY,Asunción
ASV,Amboseli Airport,AF,KE,Amboseli National Park
ASW,Aswan International Airport,AF,EG,Aswan
ASX,John F Kennedy Memorial Airport,NA,US,Ashland
ASY,Ashley Municipal Airport,NA,US,Ashley
ASZ,Asirim Airport,OC,PG,
ATA,Comandante FAP German Arias Graziani Airport,SA,PE,Anta
ATB,Atbara Airport,AF,SD,Atbara
ATC,Arthur's Town Airport,NA,BS,Arthur's Town
ATD,Uru Harbour Airport,OC,SB,Atoifi
ATE,Antlers Municipal Airport,NA,US,Antlers
ATF,Chachoán Airport,SA,EC,Ambato
ATG,Minhas Air Base,AS,PK,Kamra
ATH,Eleftherios Venizelos International Airport,EU,GR,Athens
ATI,Artigas International Airport,SA,UY,Artigas
ATJ,Antsirabe Airport,AF,MG,Antsirabe
ATK,Atqasuk Edward Burnell Sr Memorial Airport,NA,US,Atqasuk
ATL,Hartsfield Jackson Atlanta International Airport,NA,US,Atlanta
ATM,Altamira Airport,SA,BR,Altamira
ATN,Namatanai Airport,OC,PG,Namatanai
ATO,Ohio University Snyder Field,NA,US,Athens/Albany
ATP,Aitape Airport,OC,PG,Aitape
ATQ,Sri Guru Ram Dass Jee International Airport,AS,IN,Amritsar
ATR,Atar International Airport,AF,MR,Atar
ATS,Artesia Municipal Airport,NA,US,Artesia
ATT,Atmautluak Airport,NA,US,Atmautluak
ATU,Casco Cove Coast Guard Station,NA,US,Attu
ATV,Ati Airport,AF,TD,Ati
ATW,Appleton International Airport,NA,US,Appleton
ATX,Atbasar Airport,AS,KZ,Atbasar
ATY,Watertown Regional Airport,NA,US,Watertown
ATZ,Assiut International Airport,AF,EG,Assiut
AUA,Queen Beatrix International Airport,NA,AW,Oranjestad
AUC,Santiago Perez Airport,SA,CO,Arauca
AUD,Augustus Downs Airport,OC,AU,
AUE,Abu Rudeis Airport,AS,EG,Abu Rudeis
AUF,Auxerre-Branches Airport,EU,FR,Auxerre/Branches
AUG,Augusta State Airport,NA,US,Augusta
AUH,Abu Dhabi International Airport,AS,AE,Abu Dhabi
AUI,Aua Island Airport,OC,PG,Aua Island
AUJ,Ambunti Airport,OC,PG,Ambunti
AUK,Alakanuk Airport,NA,US,Alakanuk
AUL,Aur Island Airport,OC,MH,Aur Atoll
AUM,Austin Municipal Airport,NA,US,Austin
AUN,Auburn Municipal Airport,NA,US,Auburn
AUO,Auburn Opelika Robert G. Pitts Airport,NA,US,Auburn
AUP,Agaun Airport,OC,PG,
AUQ,Hiva Oa-Atuona Airport,OC,PF,Hiva Oa Island
AUR,Aurillac Airport,EU,FR,Aurillac
AUS,Austin Robert Mueller Municipal,NA,US,
AUS,Austin Bergstrom International Airport,NA,US,Austin
AUT,Atauro Airport,AS,TL,Atauro
AUU,Aurukun Airport,OC,AU,Aurukun
AUV,Aumo Airport,OC,PG,Aumo
AUW,Wausau Downtown Airport,NA,US,Wausau
AUX,Araguaína Airport,SA,BR,Araguaína
AUY,Aneityum Airport,OC,VU,Anatom Island
AUZ,Aurora Municipal Airport,NA,US,Chicago/Aurora
AVA,Anshun Huangguoshu Airport,AS,CN,Anshun
AVB,Aviano Air Base,EU,IT,Aviano (PN)
AVG,Auvergne Airport,OC,AU,
AVI,Maximo Gomez Airport,NA,CU,Ciego de Avila
AVK,Arvaikheer Airport,AS,MN,Arvaikheer
AVL,Asheville Regional Airport,NA,US,Asheville
AVN,Avignon-Caumont Airport,EU,FR,Avignon/Caumont
AVO,Avon Park Executive Airport,NA,US,Avon Park
AVP,Wilkes Barre Scranton International Airport,NA,US,Wilkes-Barre/Scranton
AVR,Alverca Air Base,EU,PT,Vila Franca de Xira
AVU,Avu Avu Airport,OC,SB,
AVV,Avalon Airport,OC,AU,Melbourne
AVW,Marana Regional Airport,NA,US,Tucson
AVX,Catalina Airport,NA,US,Avalon
AWA,Awassa Airport,AF,ET,Awassa
AWB,Awaba Airport,OC,PG,Awaba
AWD,Aniwa Airport,OC,VU,Aniwa
AWE,Alowe Airport,AF,GA,Wonga Wongué Presidential Reserve
AWK,Wake Island Airfield,OC,UM,Wake Island
AWM,West Memphis Municipal Airport,NA,US,West Memphis
AWN,Alton Downs Airport,OC,AU,
AWP,Austral Downs Airport,OC,AU,
AWR,Awar Airport,OC,PG,Awar
AWZ,Ahwaz Airport,AS,IR,Ahwaz
AXA,Clayton J Lloyd International Airport,NA,AI,The Valley
AXB,Maxson Airfield,NA,US,Alexandria Bay
AXC,Aramac Airport,OC,AU,
AXD,Dimokritos Airport,EU,GR,Alexandroupolis
AXE,Xanxerê Airport,SA,BR,Xanxerê
AXF,Alxa Left Banner Bayanhot Airport,AS,CN,Bayanhot
AXG,Algona Municipal Airport,NA,US,Algona
AXJ,Amakusa Airport,AS,JP,
AXK,Ataq Airport,AS,YE,
AXL,Alexandria Homestead Airport,OC,AU,
AXM,El Eden Airport,SA,CO,Armenia
AXN,Chandler Field,NA,US,Alexandria
AXP,Spring Point Airport,NA,BS,Spring Point
AXR,Arutua Airport,OC,PF,
AXS,Altus Quartz Mountain Regional Airport,NA,US,Altus
AXT,Akita Airport,AS,JP,Akita
AXU,Axum Airport,AF,ET,
AXV,Neil Armstrong Airport,NA,US,Wapakoneta
AXX,Angel Fire Airport,NA,US,Angel Fire
AYA,Ayapel Airport,SA,CO,Ayapel
AYC,Ayacucho Airport,SA,CO,Ayacucho
AYD,Alroy Downs Airport,OC,AU,Alroy Downs
AYE,Ft Devens Moore Army Air Field,NA,US,
AYG,Yaguara Airport,SA,CO,San Vicente Del Caguán
AYH,RAF Alconbury,EU,GB,Huntingdon
AYI,Yari Airport,SA,CO,Yari
AYK,Arkalyk North Airport,AS,KZ,Arkalyk
AYL,Anthony Lagoon Airport,OC,AU,
AYM,Yas Island Seaplane Base,AS,AE,Abu Dhabi
AYN,Anyang Airport,AS,CN,Anyang
AYO,Juan De Ayolas Airport,SA,PY,Ayolas
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,SA,PE,Ayacucho
AYQ,Ayers Rock Connellan Airport,OC,AU,Ayers Rock
AYR,Ayr Airport,OC,AU,
AYS,Waycross Ware County Airport,NA,US,Waycross
AYT,Antalya International Airport,AS,TR,Antalya
AYU,Aiyura Airport,OC,PG,Aiyura Valley
AYW,Ayawasi Airport,AS,ID,Ayawasi-Papua Island
AYY,Arugam Bay SPB,AS,LK,Pottuvil
AYZ,Zahn's Airport,NA,US,Amityville
